File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Genome annotation,Platform,Controlled by,File Status,s3_uri,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF134DLD,bam,alignments,ENCSR000EOT,DNase-seq,EFO:0002067,K562,cell line,Homo sapiens,,,,,,,,,,,DNA,,,,,False,2018-05-09,ENCODE,,,,2,,,,,,,ENCFF886YYX,1158790865,ENCODE Processing Pipeline,72d9f967f0e6ded2dc44d928f3c6a628,,https://www.encodeproject.org/files/ENCFF134DLD/@@download/ENCFF134DLD.bam,GRCh38,,,,released,s3://encode-public/2018/05/04/c53e3dfd-e4aa-4c99-a3ec-ebb7dc2d2d18/ENCFF134DLD.bam,,,,
ENCFF156LGK,bam,alignments,ENCSR000EOT,DNase-seq,EFO:0002067,K562,cell line,Homo sapiens,,,,,,,,,,,DNA,,,,,False,2018-05-09,ENCODE,,,,1,,,,,,,"ENCFF163LLK, ENCFF826WIT",15933225348,ENCODE Processing Pipeline,dba3114cc0c5152ae9f8839baf98aff6,,https://www.encodeproject.org/files/ENCFF156LGK/@@download/ENCFF156LGK.bam,GRCh38,,,,released,s3://encode-public/2018/05/04/ce471c0e-6e6b-49c2-9383-9513bbb01534/ENCFF156LGK.bam,,,,
ENCFF143WEU,bam,alignments,ENCSR414IHC,DNase-seq,CL:0000084,T-cell,primary cell,Homo sapiens,G-CSF,7.5 μg/kg,4 day,,,,,,,,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,,,,,ENCFF347PQE,2217706546,ENCODE Processing Pipeline,19cd7fb03f2b7da4119d17f622fde39c,,https://www.encodeproject.org/files/ENCFF143WEU/@@download/ENCFF143WEU.bam,GRCh38,,,,released,s3://encode-public/2017/09/18/32963bf6-7ab6-4518-b351-f1a082859cf0/ENCFF143WEU.bam,,,,
ENCFF495OFD,bam,alignments,ENCSR683QJJ,DNase-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary cell,Homo sapiens,,,,,,,,,,,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,,,,,"ENCFF206WLZ, ENCFF616YAZ",19108271510,ENCODE Processing Pipeline,2ab3f1c30a1b61895099c07bb72dbe92,,https://www.encodeproject.org/files/ENCFF495OFD/@@download/ENCFF495OFD.bam,GRCh38,,,,released,s3://encode-public/2017/11/27/107382a7-e2e5-4f1f-9d0f-a88f707cab9a/ENCFF495OFD.bam,,,,
ENCFF910KLI,bam,alignments,ENCSR000ENA,DNase-seq,CL:0002604,astrocyte of the hippocampus,primary cell,Homo sapiens,,,,,,,,,,,DNA,,see document,see document,,False,2011-05-04,ENCODE,,,,1,,,,,,,ENCFF080KAT,13770224276,ENCODE Processing Pipeline,927b520a1f8ca80ff748759593d7ede5,,https://www.encodeproject.org/files/ENCFF910KLI/@@download/ENCFF910KLI.bam,GRCh38,,,,released,s3://encode-public/2018/05/04/cba6b69a-bbe3-4911-8da0-ebbf41e669b9/ENCFF910KLI.bam,,,,
ENCFF707XHV,bam,alignments,ENCSR000ENA,DNase-seq,CL:0002604,astrocyte of the hippocampus,primary cell,Homo sapiens,,,,,,,,,,,DNA,,see document,see document,,False,2011-05-04,ENCODE,,,,2,,,,,,,ENCFF236GNF,1458943837,ENCODE Processing Pipeline,72fcecc883f6706e4d5a25d88cd610c3,,https://www.encodeproject.org/files/ENCFF707XHV/@@download/ENCFF707XHV.bam,GRCh38,,,,released,s3://encode-public/2018/05/04/7d30da1b-f16c-410f-a68b-551a02ed8597/ENCFF707XHV.bam,,,,
ENCFF283BSF,bam,alignments,ENCSR164WOF,DNase-seq,UBERON:0008952,upper lobe of left lung,tissue,Homo sapiens,,,,,,,,,,,DNA,,,,,False,2017-10-01,ENCODE,,,,1,,,,,,,ENCFF628FMV,6731227276,ENCODE Processing Pipeline,e550efdeb36a7e5610097600c0bad8d6,,https://www.encodeproject.org/files/ENCFF283BSF/@@download/ENCFF283BSF.bam,GRCh38,,,,released,s3://encode-public/2017/09/12/94439696-1355-4382-985e-4cc48ab2e289/ENCFF283BSF.bam,,,,
ENCFF414SNM,bam,alignments,ENCSR098PTC,DNase-seq,CL:0000837,hematopoietic multipotent progenitor cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,,DNA,,,,,False,2015-08-31,ENCODE,,,,2,,,,,,,ENCFF850CTP,9132954250,ENCODE Processing Pipeline,61ada4bedfac0940cb5364bf005b9e3a,,https://www.encodeproject.org/files/ENCFF414SNM/@@download/ENCFF414SNM.bam,GRCh38,,,,released,s3://encode-public/2017/08/24/c98bae7d-a2de-4a7c-a868-d9c02e41418d/ENCFF414SNM.bam,,,,
ENCFF977TEJ,bam,alignments,ENCSR098PTC,DNase-seq,CL:0000837,hematopoietic multipotent progenitor cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,,DNA,,,,,False,2015-08-31,ENCODE,,,,1,,,,,,,"ENCFF451ZDK, ENCFF636TFZ",11709479015,ENCODE Processing Pipeline,938f3e6cfe6c5a0813b6940aaa0a46e8,,https://www.encodeproject.org/files/ENCFF977TEJ/@@download/ENCFF977TEJ.bam,GRCh38,,,,released,s3://encode-public/2017/08/24/27663764-23dc-45cd-b6eb-34308138968c/ENCFF977TEJ.bam,,,,
ENCFF617PSN,bam,alignments,ENCSR346IHH,DNase-seq,EFO:0005698,Daoy,cell line,Homo sapiens,,,,,,,,,,,DNA,,,,,False,2015-08-18,ENCODE,,,,1,,,,,,,"ENCFF405NYV, ENCFF895VAC",10366776610,ENCODE Processing Pipeline,d398dc6cb2dfe560245457f6f4a4655f,,https://www.encodeproject.org/files/ENCFF617PSN/@@download/ENCFF617PSN.bam,GRCh38,,,,released,s3://encode-public/2017/08/24/03866001-7a8e-4cbf-bc72-e964ce52bcb2/ENCFF617PSN.bam,,,,
