File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Genome annotation,Platform,Controlled by,File Status,s3_uri,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF838LCX,bam,alignments,ENCSR278TQE,ChIP-seq,UBERON:0000996,vagina,tissue,Homo sapiens,,,,,,,,,,H3K27me3-human,DNA,,,,,False,2019-09-11,ENCODE,,,,1,,,76.0,,,,"ENCFF643CGH, ENCFF645IIJ, ENCFF732DDG, ENCFF798PHL, ENCFF906HWF",2899570837,ENCODE Processing Pipeline,de337f942f910c4e88498cf4e00002d8,,https://www.encodeproject.org/files/ENCFF838LCX/@@download/ENCFF838LCX.bam,GRCh38,,,,released,s3://encode-public/2019/08/29/671ff0e5-6ceb-40f7-b70d-6ae7960b16fd/ENCFF838LCX.bam,,,,
ENCFF552QGG,bam,alignments,ENCSR000DTT,ChIP-seq,CL:0002252,epithelial cell of esophagus,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,see document,,False,2011-02-11,ENCODE,,,,2,,,36.0,,,,"ENCFF001FJL, ENCFF643CGH",986877916,ENCODE Processing Pipeline,4f99f504c1980a09f24ea02d8d6fa786,,https://www.encodeproject.org/files/ENCFF552QGG/@@download/ENCFF552QGG.bam,GRCh38,,,,released,s3://encode-public/2016/08/10/fd2c729b-0880-44b0-9bac-13f3918b9004/ENCFF552QGG.bam,,,,
ENCFF775VRN,bam,alignments,ENCSR000DTT,ChIP-seq,CL:0002252,epithelial cell of esophagus,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,see document,,False,2011-02-11,ENCODE,,,,1,,,36.0,,,,"ENCFF001FJM, ENCFF643CGH",918302761,ENCODE Processing Pipeline,d994d07e156bff44376c74be1eac50de,,https://www.encodeproject.org/files/ENCFF775VRN/@@download/ENCFF775VRN.bam,GRCh38,,,,released,s3://encode-public/2016/08/10/e5a2ca9d-1738-4037-bc79-cfa24ef89886/ENCFF775VRN.bam,,,,
ENCFF394IFM,bam,redacted alignments,ENCSR327XTS,ChIP-seq,UBERON:0000317,colonic mucosa,tissue,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF528AHN, ENCFF643CGH, ENCFF840TPB",238996145,ENCODE Processing Pipeline,85c38a5e517d847b02cfd14053e51954,,https://www.encodeproject.org/files/ENCFF394IFM/@@download/ENCFF394IFM.bam,GRCh38,,,,released,s3://encode-public/2018/01/18/5b5f14d2-8024-4c4a-895d-a3e1277c46c7/ENCFF394IFM.bam,,,,
ENCFF437GOF,bam,redacted alignments,ENCSR097PJQ,ChIP-seq,UBERON:0007106,chorionic villus,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF017TBA, ENCFF643CGH, ENCFF698QRV",129219492,ENCODE Processing Pipeline,971e68e948efadcb13a2a77e5c37c6b4,,https://www.encodeproject.org/files/ENCFF437GOF/@@download/ENCFF437GOF.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/c111665d-44af-4a6f-b591-0064fd239110/ENCFF437GOF.bam,,,,
ENCFF907DEI,bam,alignments,ENCSR634IIF,ChIP-seq,CL:0000351,trophoblast cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,H2BK12ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF643CGH, ENCFF687YAV",976488055,ENCODE Processing Pipeline,a1be14386e54700db73d6733a96f9070,,https://www.encodeproject.org/files/ENCFF907DEI/@@download/ENCFF907DEI.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/59bb2ce9-31e9-4ced-9639-cf0756713aa3/ENCFF907DEI.bam,,,,
ENCFF009LWT,bam,alignments,ENCSR634IIF,ChIP-seq,CL:0000351,trophoblast cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,H2BK12ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,2,,,36.0,,,,"ENCFF288GYF, ENCFF643CGH",819373225,ENCODE Processing Pipeline,6d5af3f01f078f168736a819cd172370,,https://www.encodeproject.org/files/ENCFF009LWT/@@download/ENCFF009LWT.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/e2e4798b-f4e5-4664-a52b-b7d3a2cf5f98/ENCFF009LWT.bam,,,,
ENCFF772BNI,bam,alignments,ENCSR634IIF,ChIP-seq,CL:0000351,trophoblast cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,H2BK12ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,2,,,36.0,,,,"ENCFF288GYF, ENCFF643CGH",819373229,ENCODE Processing Pipeline,4c7b01bc3a396a945a0640314e9d9c84,,https://www.encodeproject.org/files/ENCFF772BNI/@@download/ENCFF772BNI.bam,GRCh38,,,,released,s3://encode-public/2017/02/21/3a87cee6-084a-4032-935f-de98c0848e0e/ENCFF772BNI.bam,,,,
ENCFF347EDU,bam,alignments,ENCSR446ZCY,ChIP-seq,CL:0000223,endodermal cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF202IOF, ENCFF412DSE, ENCFF477OZW, ENCFF643CGH, ENCFF733DBF, ENCFF891IIZ",1160487317,ENCODE Processing Pipeline,120c3ac7b5c239fbf257a5344c27a580,,https://www.encodeproject.org/files/ENCFF347EDU/@@download/ENCFF347EDU.bam,GRCh38,,,,released,s3://encode-public/2017/02/08/9fd7c261-579a-44e1-a99e-1845f2b5f027/ENCFF347EDU.bam,,,,
ENCFF937ZPT,bam,alignments,ENCSR446ZCY,ChIP-seq,CL:0000223,endodermal cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,2,,,36.0,,,,"ENCFF176LML, ENCFF290MVL, ENCFF461TKP, ENCFF643CGH, ENCFF719OJI, ENCFF855KTY",1170474935,ENCODE Processing Pipeline,048aad721d31034a1c3a89028d7ae05c,,https://www.encodeproject.org/files/ENCFF937ZPT/@@download/ENCFF937ZPT.bam,GRCh38,,,,released,s3://encode-public/2017/02/08/10cbd53b-d5a8-4a08-92c4-372b97d3dd0b/ENCFF937ZPT.bam,,,,
