File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Genome annotation,Platform,Controlled by,File Status,s3_uri,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF291STV,bam,alignments,ENCSR905LVO,RNA-seq,CL:0001054,CD14-positive monocyte,primary cell,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,,,,,"ENCFF246VSY, ENCFF709TXQ, ENCFF742NER",35938376281,ENCODE Processing Pipeline,a273ead800f38a8027c33c5577c136ee,,https://www.encodeproject.org/files/ENCFF291STV/@@download/ENCFF291STV.bam,GRCh38,V24,,,released,s3://encode-public/2017/05/11/38562e7c-40de-43eb-862e-f4ecf213475f/ENCFF291STV.bam,,,,
ENCFF093GMX,bam,alignments,ENCSR472PBS,RNA-seq,CL:0000223,endodermal cell,in vitro differentiated cells,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,,see document,,,True,2013-07-31,Roadmap,,,,1,,,,,,,"ENCFF072UTO, ENCFF154PKH, ENCFF286HER, ENCFF464SZC, ENCFF639WME, ENCFF742NER, ENCFF943ZDC",39776389307,ENCODE Processing Pipeline,ac747cdbc30963868c0df19fcfb2410a,,https://www.encodeproject.org/files/ENCFF093GMX/@@download/ENCFF093GMX.bam,GRCh38,V24,,,released,s3://encode-public/2018/01/18/0ccfaf44-ea97-4d96-af6c-49a00d3ae522/ENCFF093GMX.bam,,,,
ENCFF746WLK,bam,alignments,ENCSR944FLL,RNA-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary cell,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,,,,,"ENCFF158OUQ, ENCFF214MGP, ENCFF742NER",17122298538,ENCODE Processing Pipeline,5d0cfa65c943e99ab8ec95dafe668b2d,,https://www.encodeproject.org/files/ENCFF746WLK/@@download/ENCFF746WLK.bam,GRCh38,V24,,,released,s3://encode-public/2017/05/11/78fb2882-f6b6-4797-b387-a15399931ff8/ENCFF746WLK.bam,,,,
ENCFF541ZBT,bam,alignments,ENCSR000COV,RNA-seq,EFO:0003042,H1,cell line,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,rRNA,see document,see document,,True,2011-10-17,ENCODE,,,,2,,,,,,,"ENCFF000FHG, ENCFF000FHH, ENCFF742NER",15871949052,ENCODE Processing Pipeline,011b2cc692944d3b652116985ad0e330,,https://www.encodeproject.org/files/ENCFF541ZBT/@@download/ENCFF541ZBT.bam,GRCh38,V24,,,released,s3://encode-public/2016/07/07/84756f07-1074-40a8-9c1f-50387eea7dac/ENCFF541ZBT.bam,,,,
ENCFF381QSM,bam,alignments,ENCSR000COZ,RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,rRNA,see document,see document,,True,2011-10-17,ENCODE,,,,1,,,,,,,"ENCFF000GRN, ENCFF000GSB, ENCFF742NER",13034998883,ENCODE Processing Pipeline,98ffd6c590604503dc13495197f27719,,https://www.encodeproject.org/files/ENCFF381QSM/@@download/ENCFF381QSM.bam,GRCh38,V24,,,released,s3://encode-public/2016/02/29/c07c9b53-3d8d-4daf-957c-24cbe5cde968/ENCFF381QSM.bam,,,,
ENCFF844OIL,bam,alignments,ENCSR000COZ,RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,rRNA,see document,see document,,True,2011-10-17,ENCODE,,,,2,,,,,,,"ENCFF000GSA, ENCFF000GTA, ENCFF742NER",17124990971,ENCODE Processing Pipeline,c040a069e49b9f415833e5e778330e06,,https://www.encodeproject.org/files/ENCFF844OIL/@@download/ENCFF844OIL.bam,GRCh38,V24,,,released,s3://encode-public/2016/02/29/42cd00eb-7dcd-4afc-a613-822a628cdd8e/ENCFF844OIL.bam,,,,
ENCFF099XJY,bam,alignments,ENCSR738PHQ,RNA-seq,EFO:0007089,HUES64,cell line,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,,see document,,,True,2013-07-31,Roadmap,,,,1,,,,,,,"ENCFF072CLJ, ENCFF506VGO, ENCFF583QOX, ENCFF595JPI, ENCFF602SEQ, ENCFF616DWR, ENCFF742NER",64232394333,ENCODE Processing Pipeline,201aff8dc921b0efbcda1a59004c0216,,https://www.encodeproject.org/files/ENCFF099XJY/@@download/ENCFF099XJY.bam,GRCh38,V24,,,released,s3://encode-public/2018/01/18/5c951f6d-87e6-410c-8ffe-754f20c22841/ENCFF099XJY.bam,,,,
ENCFF168NGI,bam,alignments,ENCSR000CPC,RNA-seq,EFO:0001187,HepG2,cell line,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,rRNA,see document,see document,,True,2011-10-17,ENCODE,,,,1,,,,,,,"ENCFF000GAF, ENCFF000GAT, ENCFF742NER",17320977513,ENCODE Processing Pipeline,17564dfe7b4cfe34b92102b67a710b1f,,https://www.encodeproject.org/files/ENCFF168NGI/@@download/ENCFF168NGI.bam,GRCh38,V24,,,released,s3://encode-public/2016/07/07/675a9357-9ae3-4e0b-80ee-243c8ce7549b/ENCFF168NGI.bam,,,,
ENCFF711DJN,bam,alignments,ENCSR000CPC,RNA-seq,EFO:0001187,HepG2,cell line,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,rRNA,see document,see document,,True,2011-10-17,ENCODE,,,,2,,,,,,,"ENCFF000GAH, ENCFF000GAS, ENCFF742NER",15089727480,ENCODE Processing Pipeline,0f59886f47a6fd7a81d71cd21797f7b0,,https://www.encodeproject.org/files/ENCFF711DJN/@@download/ENCFF711DJN.bam,GRCh38,V24,,,released,s3://encode-public/2016/07/07/79465578-c5e4-43b0-8cb0-50cf32edafbc/ENCFF711DJN.bam,,,,
ENCFF484FAQ,bam,alignments,ENCSR618IQY,RNA-seq,UBERON:0002108,small intestine,tissue,Homo sapiens,,,,,,,,,,,polyadenylated mRNA,,see document,,,True,2013-07-31,Roadmap,,,,1,,,,,,,"ENCFF009ORG, ENCFF011LNF, ENCFF029HCL, ENCFF084CXS, ENCFF094EMI, ENCFF152GVW, ENCFF154MVO, ENCFF244OQJ, ENCFF263BVT, ENCFF308DMB, ENCFF473PNE, ENCFF499OCP, ENCFF561GUZ, ENCFF570VRI, ENCFF698DJI, ENCFF742NER, ENCFF893AST",63976122529,ENCODE Processing Pipeline,db078ee8506f0230914d8218c3308a9a,,https://www.encodeproject.org/files/ENCFF484FAQ/@@download/ENCFF484FAQ.bam,GRCh38,V24,,,released,s3://encode-public/2017/11/17/94d71691-e4b9-4564-a897-bbf0091df980/ENCFF484FAQ.bam,,,,
