File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Genome annotation,Platform,Controlled by,File Status,s3_uri,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF805LSA,bam,alignments,ENCSR569XNP,ChIP-seq,EFO:0001203,MCF-7,cell line,Homo sapiens,,,,,,,,,,FOS-human,DNA,,,,,False,2016-12-19,ENCODE,,,,1.0,,,100.0,,,,"ENCFF354BWI, ENCFF464SOW, ENCFF643CGH",5147427656,ENCODE Processing Pipeline,9f84058385f90fde736e8f7bc3fa4be7,,https://www.encodeproject.org/files/ENCFF805LSA/@@download/ENCFF805LSA.bam,GRCh38,,,,released,s3://encode-public/2016/10/09/478fc44c-aca7-47f9-b901-4f30c88a2c3e/ENCFF805LSA.bam,,,,
ENCFF530DVX,bam,alignments,ENCSR569XNP,ChIP-seq,EFO:0001203,MCF-7,cell line,Homo sapiens,,,,,,,,,,FOS-human,DNA,,,,,False,2016-12-19,ENCODE,,,,3.0,,,100.0,,,,"ENCFF326JSE, ENCFF359EHT, ENCFF643CGH",6573755228,ENCODE Processing Pipeline,a3c659d9107fa696eb6c6ddfdc0d8e08,,https://www.encodeproject.org/files/ENCFF530DVX/@@download/ENCFF530DVX.bam,GRCh38,,,,released,s3://encode-public/2016/10/09/a876d8f8-2e70-4aed-88db-2a6b001e0e28/ENCFF530DVX.bam,,,,
ENCFF704RYY,bam,alignments,ENCSR000BLM,ChIP-seq,EFO:0001247,T47D,cell line,Homo sapiens,dimethyl sulfoxide,0.02 percent,1 hour,,,,,,,EP300-human,DNA,,see document,see document,,False,2011-07-18,ENCODE,,,,1.0,,,36.0,,,,"ENCFF000RJJ, ENCFF643CGH",578111414,ENCODE Processing Pipeline,42c732965af0cf9570942b0a7887a6ed,,https://www.encodeproject.org/files/ENCFF704RYY/@@download/ENCFF704RYY.bam,GRCh38,,,,released,s3://encode-public/2016/12/10/567b2bef-3348-4920-b7e9-efe525ffada2/ENCFF704RYY.bam,,,,
ENCFF266XHV,bam,alignments,ENCSR000BLM,ChIP-seq,EFO:0001247,T47D,cell line,Homo sapiens,dimethyl sulfoxide,0.02 percent,1 hour,,,,,,,EP300-human,DNA,,see document,see document,,False,2011-07-18,ENCODE,,,,2.0,,,36.0,,,,"ENCFF000RJL, ENCFF643CGH",688914277,ENCODE Processing Pipeline,435be97986a8505d154863ecbed84106,,https://www.encodeproject.org/files/ENCFF266XHV/@@download/ENCFF266XHV.bam,GRCh38,,,,released,s3://encode-public/2016/12/10/8641e4ef-0f74-4830-a6b7-efdfa7e05f90/ENCFF266XHV.bam,,,,
ENCFF981GSU,bam,alignments,ENCSR000BLT,ChIP-seq,EFO:0002786,GM12892,cell line,Homo sapiens,,,,,,,,,,YY1-human,DNA,,see document,see document,,False,2011-07-18,ENCODE,,,,1.0,,,36.0,,,,"ENCFF000OMI, ENCFF643CGH",447846038,ENCODE Processing Pipeline,66ab8ba1153416e8a6dd52ace05d14c6,,https://www.encodeproject.org/files/ENCFF981GSU/@@download/ENCFF981GSU.bam,GRCh38,,,,released,s3://encode-public/2016/12/10/c1037ff7-2b6f-430d-932e-e8ae60e6ef98/ENCFF981GSU.bam,,,,
ENCFF627UME,bam,alignments,ENCSR000BLT,ChIP-seq,EFO:0002786,GM12892,cell line,Homo sapiens,,,,,,,,,,YY1-human,DNA,,see document,see document,,False,2011-07-18,ENCODE,,,,2.0,,,36.0,,,,"ENCFF000OML, ENCFF643CGH",788083385,ENCODE Processing Pipeline,e6322fc82d8523e7035a6394f4b55e56,,https://www.encodeproject.org/files/ENCFF627UME/@@download/ENCFF627UME.bam,GRCh38,,,,released,s3://encode-public/2016/12/10/e03dd77f-3367-4a02-af37-7705991a6e85/ENCFF627UME.bam,,,,
ENCFF222RLY,bam,alignments,ENCSR703KWN,ChIP-seq,EFO:0005724,MM.1S,cell line,Homo sapiens,,,,,,,,,,EZH2-human,DNA,,,,,False,2017-12-14,ENCODE,,,,2.0,,,36.0,,,,"ENCFF499TRH, ENCFF643CGH, ENCFF702LEK",5492356272,ENCODE Processing Pipeline,63e523858699a95e11b5f5453fa99405,,https://www.encodeproject.org/files/ENCFF222RLY/@@download/ENCFF222RLY.bam,GRCh38,,,,released,s3://encode-public/2016/10/11/e93d6ced-e099-43a0-9942-e683514ccb4e/ENCFF222RLY.bam,,,,
ENCFF181NFB,bam,alignments,ENCSR703KWN,ChIP-seq,EFO:0005724,MM.1S,cell line,Homo sapiens,,,,,,,,,,EZH2-human,DNA,,,,,False,2017-12-14,ENCODE,,,,1.0,,,36.0,,,,"ENCFF145CLU, ENCFF643CGH, ENCFF684UWO",713054293,ENCODE Processing Pipeline,69e36e85fb7a44ede575af78080a38a0,,https://www.encodeproject.org/files/ENCFF181NFB/@@download/ENCFF181NFB.bam,GRCh38,,,,released,s3://encode-public/2016/10/14/e6b4c25a-fc27-42c4-8448-a7f87031f24c/ENCFF181NFB.bam,,,,
ENCFF415CBQ,bam,alignments,ENCSR894QWM,ChIP-seq,EFO:0005724,MM.1S,cell line,Homo sapiens,,,,,,,,,,EZH2phosphoT487-human,DNA,,,,,False,2018-02-06,ENCODE,,,,1.0,,,36.0,,,,"ENCFF268EDU, ENCFF643CGH, ENCFF775QYL",1535522623,ENCODE Processing Pipeline,3a91e74ce20619ec915c397d223d20f5,,https://www.encodeproject.org/files/ENCFF415CBQ/@@download/ENCFF415CBQ.bam,GRCh38,,,,released,s3://encode-public/2016/10/29/d5e3df8e-3fb6-43e1-81a9-46fd15862a30/ENCFF415CBQ.bam,,,,
ENCFF883NNI,bam,alignments,ENCSR894QWM,ChIP-seq,EFO:0005724,MM.1S,cell line,Homo sapiens,,,,,,,,,,EZH2phosphoT487-human,DNA,,,,,False,2018-02-06,ENCODE,,,,2.0,,,36.0,,,,"ENCFF013LUW, ENCFF643CGH",2438606268,ENCODE Processing Pipeline,76344da7a93dd6155ab327e842f9ba93,,https://www.encodeproject.org/files/ENCFF883NNI/@@download/ENCFF883NNI.bam,GRCh38,,,,released,s3://encode-public/2016/10/29/56b1bf04-3a62-4b80-bbc0-1feddb4cc3fc/ENCFF883NNI.bam,,,,
