File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF300VAR	bam	unfiltered alignments	ENCSR278TQE	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K27me3-human	DNA					False	2019-09-11	ENCODE				1			76				ENCFF643CGH, ENCFF645IIJ, ENCFF732DDG, ENCFF798PHL, ENCFF906HWF	3655645425	ENCODE Processing Pipeline	a5dff0bbf77369cd02d67be6755cc680		https://www.encodeproject.org/files/ENCFF300VAR/@@download/ENCFF300VAR.bam	GRCh38				released	s3://encode-public/2019/08/29/d137cefc-6e03-4efd-83ce-5241f80e84ee/ENCFF300VAR.bam				
ENCFF890IZS	bam	unfiltered alignments	ENCSR278TQE	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K27me3-human	DNA					False	2019-09-11	ENCODE				1			76				ENCFF645IIJ, ENCFF732DDG, ENCFF798PHL, ENCFF807MUK, ENCFF906HWF	3647274264	ENCODE Processing Pipeline	1c01de7ec4d38870f45b381ef752413c		https://www.encodeproject.org/files/ENCFF890IZS/@@download/ENCFF890IZS.bam	hg19				released	s3://encode-public/2019/08/29/28db666f-df40-43f2-93b7-71588d4ff14e/ENCFF890IZS.bam				
ENCFF838LCX	bam	alignments	ENCSR278TQE	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K27me3-human	DNA					False	2019-09-11	ENCODE				1			76				ENCFF643CGH, ENCFF645IIJ, ENCFF732DDG, ENCFF798PHL, ENCFF906HWF	2899570837	ENCODE Processing Pipeline	de337f942f910c4e88498cf4e00002d8		https://www.encodeproject.org/files/ENCFF838LCX/@@download/ENCFF838LCX.bam	GRCh38				released	s3://encode-public/2019/08/29/671ff0e5-6ceb-40f7-b70d-6ae7960b16fd/ENCFF838LCX.bam				
ENCFF888PUQ	bam	alignments	ENCSR278TQE	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K27me3-human	DNA					False	2019-09-11	ENCODE				1			76				ENCFF645IIJ, ENCFF732DDG, ENCFF798PHL, ENCFF807MUK, ENCFF906HWF	2896339202	ENCODE Processing Pipeline	5fd0460f8458b828bb31d553278cb45f		https://www.encodeproject.org/files/ENCFF888PUQ/@@download/ENCFF888PUQ.bam	hg19				released	s3://encode-public/2019/08/29/3e634d00-9728-4272-8b03-52775f293c4d/ENCFF888PUQ.bam				
ENCFF001FIT	bam	alignments	ENCSR000DTT	ChIP-seq	CL:0002252	epithelial cell of esophagus	primary cell	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1							ENCFF001FJM	1159531401	John Stamatoyannopoulos, UW	a9a31e49bbbce3374127819c74fe6c7c		https://www.encodeproject.org/files/ENCFF001FIT/@@download/ENCFF001FIT.bam	hg19				archived	s3://encode-public/2011/06/25/89501a38-121d-4bc3-a188-f6ddc4ea2de4/ENCFF001FIT.bam				
ENCFF001FIY	bam	alignments	ENCSR000DTT	ChIP-seq	CL:0002252	epithelial cell of esophagus	primary cell	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2							ENCFF001FJL	1238815377	John Stamatoyannopoulos, UW	3bf78cb12c62d57b0db8646c59122c04		https://www.encodeproject.org/files/ENCFF001FIY/@@download/ENCFF001FIY.bam	hg19				archived	s3://encode-public/2011/06/25/13817784-2bcd-486e-a9fa-dcd5e1ea0ac1/ENCFF001FIY.bam				
ENCFF043UPP	bam	unfiltered alignments	ENCSR000DTT	ChIP-seq	CL:0002252	epithelial cell of esophagus	primary cell	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1			36				ENCFF001FJM, ENCFF643CGH	1362886502	ENCODE Processing Pipeline	3bb695f78e25e898bf990537efbcade7		https://www.encodeproject.org/files/ENCFF043UPP/@@download/ENCFF043UPP.bam	GRCh38				released	s3://encode-public/2016/08/10/3abafd82-925d-4f84-9a57-669bc647f1a1/ENCFF043UPP.bam				
ENCFF449XPZ	bam	unfiltered alignments	ENCSR000DTT	ChIP-seq	CL:0002252	epithelial cell of esophagus	primary cell	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2			36				ENCFF001FJL, ENCFF643CGH	1451861054	ENCODE Processing Pipeline	fd3b73c944863c3a55cc4c97751caf4f		https://www.encodeproject.org/files/ENCFF449XPZ/@@download/ENCFF449XPZ.bam	GRCh38				released	s3://encode-public/2016/08/10/fc06ff92-63fd-486b-bbd7-2cb8c1797e84/ENCFF449XPZ.bam				
ENCFF552QGG	bam	alignments	ENCSR000DTT	ChIP-seq	CL:0002252	epithelial cell of esophagus	primary cell	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2			36				ENCFF001FJL, ENCFF643CGH	986877916	ENCODE Processing Pipeline	4f99f504c1980a09f24ea02d8d6fa786		https://www.encodeproject.org/files/ENCFF552QGG/@@download/ENCFF552QGG.bam	GRCh38				released	s3://encode-public/2016/08/10/fd2c729b-0880-44b0-9bac-13f3918b9004/ENCFF552QGG.bam				
ENCFF775VRN	bam	alignments	ENCSR000DTT	ChIP-seq	CL:0002252	epithelial cell of esophagus	primary cell	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1			36				ENCFF001FJM, ENCFF643CGH	918302761	ENCODE Processing Pipeline	d994d07e156bff44376c74be1eac50de		https://www.encodeproject.org/files/ENCFF775VRN/@@download/ENCFF775VRN.bam	GRCh38				released	s3://encode-public/2016/08/10/e5a2ca9d-1738-4037-bc79-cfa24ef89886/ENCFF775VRN.bam				
