File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF291STV	bam	alignments	ENCSR905LVO	RNA-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens											polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF246VSY, ENCFF709TXQ, ENCFF742NER	35938376281	ENCODE Processing Pipeline	a273ead800f38a8027c33c5577c136ee		https://www.encodeproject.org/files/ENCFF291STV/@@download/ENCFF291STV.bam	GRCh38	V24			released	s3://encode-public/2017/05/11/38562e7c-40de-43eb-862e-f4ecf213475f/ENCFF291STV.bam				
ENCFF633HDW	bam	transcriptome alignments	ENCSR905LVO	RNA-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens											polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF246VSY, ENCFF709TXQ, ENCFF742NER	30993226295	ENCODE Processing Pipeline	1ca8dc65cfdd3f1e5ac930490be3dfe3		https://www.encodeproject.org/files/ENCFF633HDW/@@download/ENCFF633HDW.bam	GRCh38	V24			released	s3://encode-public/2017/05/11/fcfe3ab7-a4d3-45e9-a2b7-5fad5e1566ae/ENCFF633HDW.bam				
ENCFF671XEP	bam	alignments	ENCSR905LVO	RNA-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens											polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF069ZCO, ENCFF246VSY, ENCFF709TXQ	30254702933	ENCODE Processing Pipeline	34c2f855c7eabad7f26a104ce210f789		https://www.encodeproject.org/files/ENCFF671XEP/@@download/ENCFF671XEP.bam	hg19	V19			released	s3://encode-public/2017/05/15/831a0d14-ac8c-451f-b885-328a225d7e93/ENCFF671XEP.bam				
ENCFF032CVP	bam	transcriptome alignments	ENCSR905LVO	RNA-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens											polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF069ZCO, ENCFF246VSY, ENCFF709TXQ	31535962587	ENCODE Processing Pipeline	bf21a5cfd34625515432f4568828eb08		https://www.encodeproject.org/files/ENCFF032CVP/@@download/ENCFF032CVP.bam	hg19	V19			released	s3://encode-public/2017/05/15/f2e4a17f-06fb-4512-a815-c3acb1efa714/ENCFF032CVP.bam				
ENCFF093GMX	bam	alignments	ENCSR472PBS	RNA-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF072UTO, ENCFF154PKH, ENCFF286HER, ENCFF464SZC, ENCFF639WME, ENCFF742NER, ENCFF943ZDC	39776389307	ENCODE Processing Pipeline	ac747cdbc30963868c0df19fcfb2410a		https://www.encodeproject.org/files/ENCFF093GMX/@@download/ENCFF093GMX.bam	GRCh38	V24			released	s3://encode-public/2018/01/18/0ccfaf44-ea97-4d96-af6c-49a00d3ae522/ENCFF093GMX.bam				
ENCFF352NOX	bam	transcriptome alignments	ENCSR472PBS	RNA-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF072UTO, ENCFF154PKH, ENCFF286HER, ENCFF464SZC, ENCFF639WME, ENCFF742NER, ENCFF943ZDC	7755767524	ENCODE Processing Pipeline	78072d0354a3e2f159ec68ba090430fd		https://www.encodeproject.org/files/ENCFF352NOX/@@download/ENCFF352NOX.bam	GRCh38	V24			released	s3://encode-public/2018/01/18/edcf4453-4bfe-4c14-a69b-d29c8b0c3cfa/ENCFF352NOX.bam				
ENCFF334SQT	bam	alignments	ENCSR472PBS	RNA-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF069ZCO, ENCFF072UTO, ENCFF154PKH, ENCFF286HER, ENCFF464SZC, ENCFF639WME, ENCFF943ZDC	12722486886	ENCODE Processing Pipeline	f9d947152f1fd8ba04d137c4ef0537b9		https://www.encodeproject.org/files/ENCFF334SQT/@@download/ENCFF334SQT.bam	hg19	V19			released	s3://encode-public/2018/01/19/20e41e92-3611-49ca-9ef3-0ec27817ef20/ENCFF334SQT.bam				
ENCFF056HVF	bam	transcriptome alignments	ENCSR472PBS	RNA-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF069ZCO, ENCFF072UTO, ENCFF154PKH, ENCFF286HER, ENCFF464SZC, ENCFF639WME, ENCFF943ZDC	8351228555	ENCODE Processing Pipeline	e28bf2b3ec70bd55f1c72e49d4bfeb1e		https://www.encodeproject.org/files/ENCFF056HVF/@@download/ENCFF056HVF.bam	hg19	V19			released	s3://encode-public/2018/01/19/ff2cff03-5dc4-4151-90b0-8c0165d4e250/ENCFF056HVF.bam				
ENCFF746WLK	bam	alignments	ENCSR944FLL	RNA-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF158OUQ, ENCFF214MGP, ENCFF742NER	17122298538	ENCODE Processing Pipeline	5d0cfa65c943e99ab8ec95dafe668b2d		https://www.encodeproject.org/files/ENCFF746WLK/@@download/ENCFF746WLK.bam	GRCh38	V24			released	s3://encode-public/2017/05/11/78fb2882-f6b6-4797-b387-a15399931ff8/ENCFF746WLK.bam				
ENCFF823QIL	bam	transcriptome alignments	ENCSR944FLL	RNA-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF158OUQ, ENCFF214MGP, ENCFF742NER	22031164980	ENCODE Processing Pipeline	0e33911d36a1cbca285f5154639cb342		https://www.encodeproject.org/files/ENCFF823QIL/@@download/ENCFF823QIL.bam	GRCh38	V24			released	s3://encode-public/2017/05/11/1bec3af9-2ea3-4ef3-bc95-d91fe468f47d/ENCFF823QIL.bam				
